department,funding
Department of Agriculture,234317786999
Department of Commerce,30333088000
Department of Defense,9935123000
Department of Education,258974511000
Department of Energy,26888661000
Department of Health and Human Services,1898615706999
Department of Homeland Security,51248580000
Department of Housing and Urban Development,95398000000
Department of Justice,3709316000
Department of Labor,57732065000
Department of State,2959370000
Department of Transportation,120016912999
Department of Veterans Affairs,1929049454999
Department of the Interior,10894092000
Department of the Treasury,1645825493999
